id_DC	id_CL	Feldname
customfield_11506	customfield_10347	Kon. Telefon
customfield_11501	customfield_10353	Kon. Vorname
customfield_11509	customfield_10356	Kon. Website
customfield_10320	customfield_10242	Kontakt nicht m�glich
customfield_10267	customfield_10247	Kontodaten
customfield_10407	customfield_10434	Kontoinhaber
customfield_11304	customfield_10424	Kreis(zur autom. Anzeige)
customfield_10311	customfield_10419	Kunde mit Beratung zufrieden
customfield_10319	customfield_10416	Kunde steht als Referenz zur Verf�gung
customfield_10314	customfield_10216	Kurze Zusammenfassung der geleisteten Beratung
customfield_10425	customfield_10252	Leistung
customfield_11456	customfield_10453	Leistung 1
customfield_11458	customfield_10449	Leistung 2
customfield_11460	customfield_10451	Leistung 3
customfield_11462	customfield_10454	Leistung 4
customfield_11464	customfield_10455	Leistung 5
customfield_11466	customfield_10452	Leistung 6
customfield_13000	customfield_10222	L�sung
	customfield_10324	M.Alter
	customfield_10316	M.Datum Statuswechsel
customfield_10217	customfield_10327	M.E-Mail AS
customfield_10262	customfield_10328	M.E-Mail privat
customfield_11006	customfield_10326	M.Fax
customfield_10214	customfield_10274	M.Geburtsdatum
	customfield_10313	M.Jahre-im-Verein
customfield_10212	customfield_10270	M.Nachname
	customfield_10307	M.N�chster-Geburtstag
	customfield_10345	M.N�chstes-Jubil�um
customfield_10216	customfield_10322	M.Nummer
customfield_10220	customfield_10330	M.Ort
customfield_10219	customfield_10277	M.PLZ
customfield_13300	customfield_10321	M.Status�nderung
customfield_10218	customfield_10275	M.Strasse
customfield_10213	customfield_10267	M.Tel-Fest
customfield_10261	customfield_10290	M.Tel-Mobil
customfield_10211	customfield_10273	M.Vorname
customfield_12611	customfield_10259	Mitgliedsnummer-Basis
	customfield_10205	Mitgliedsstatus
customfield_10233		Nachname
	customfield_10029	Offene Formulare
	customfield_10002	Organizations
customfield_12704		Original story points
customfield_11009	customfield_10366	P.E-Mail
customfield_11008	customfield_10364	P.Fax
customfield_10337	customfield_10361	P.Ort
customfield_11900	customfield_10369	P.PLZ
customfield_11010	customfield_10368	P.Strasse
customfield_10334	customfield_10363	P.Telefon
customfield_12802	customfield_10367	P.Telefon-Mobil
customfield_12701	customfield_10018	Parent Link
customfield_10412	customfield_10365	Partner
customfield_12801	customfield_10358	Partnerstatus
customfield_12800	customfield_10371	Partnertyp
	customfield_10036	Project overview key
	customfield_10037	Project overview status
customfield_13600		QR_Code
	customfield_10019	Rang
customfield_10105		Rank
customfield_10298	customfield_10209	Rechnung comment field 1
customfield_10299	customfield_10450	Rechnung comment field 2
customfield_10300	customfield_10213	Rechnung comment field 3
	customfield_10253	Rechnung gesendet
customfield_11012	customfield_10251	RechnungNummerIntern
customfield_10501	customfield_10378	Rechnungsdatum
customfield_11013	customfield_10377	Rechnungsnummer
customfield_10254	customfield_10390	Rechtsform
customfield_10234	customfield_10202	Region
customfield_10287	customfield_10432	Region Name
customfield_11706	customfield_10463	RegionF
	customfield_10174	Request language
	customfield_10137	Request participants
	customfield_10010	Request Type
customfield_10327	customfield_10235	RL relevant
customfield_10309	customfield_10298	RL.E-Mail AS
	customfield_10460	RL.E-Mail privat
customfield_10308	customfield_10323	RL.Fax
customfield_10303	customfield_10306	RL.Name
customfield_10305	customfield_10305	RL.Ort
customfield_10306	customfield_10302	RL.PLZ
customfield_10304	customfield_10344	RL.Strasse
customfield_10804	customfield_10310	RL.Tel-Fest
customfield_10307	customfield_10311	RL.Tel-Mobil
	customfield_10138	Satisfaction
	customfield_10139	Satisfaction date
customfield_12609	customfield_10276	Selbstauskunft
	customfield_10024	Sentiment
	customfield_10034	Sicherheitsrisiko
	customfield_10414	Signature
customfield_12606	customfield_10266	Sonstige Bemerkungen
customfield_10104	customfield_10020	Sprint
	customfield_10015	Startdatum
customfield_11449	customfield_10441	Stellvertreter 1
	customfield_10448	Stellvertreter 1 (migrated)
customfield_11450	customfield_10442	Stellvertreter 1-E-Mail
customfield_11451	customfield_10443	Stellvertreter 2
customfield_11452	customfield_10444	Stellvertreter 2-E-Mail
customfield_13400	customfield_10445	Stellvertreter 3
customfield_13401	customfield_10437	Stellvertreter 3-E-Mail
customfield_10433	customfield_10249	Steuersatz in Prozent
customfield_12200	customfield_10262	Storno Hinweis
customfield_10430	customfield_10220	Storno mail comment 1
customfield_10431	customfield_10456	Storno mail comment 2
customfield_12100	customfield_10373	Stornodatum
	customfield_10016	Story point estimate
customfield_10106	customfield_10070	Story Points
customfield_12703	customfield_10023	Target end
customfield_12702	customfield_10022	Target start
customfield_12700	customfield_10001	Team
customfield_10600	customfield_10425	Termine
	customfield_10172	Time to done
	customfield_10173	Time to first response
	customfield_10530	�ber Formulare erstellte Vorg�nge
customfield_10418	customfield_10426	Uhrzeit
customfield_11520	customfield_10254	V.Bank
customfield_11522	customfield_10258	V.BIC
customfield_11518	customfield_10217	V.Fax
customfield_11521	customfield_10228	V.IBAN
customfield_11802	customfield_10221	V.JahresMaxKeyS
customfield_11803	customfield_10261	V.LfdNr
customfield_11519	customfield_10219	V.Mail
customfield_11705	customfield_10231	V.Name Vorstand
customfield_11523	customfield_10229	V.Nr
customfield_11516	customfield_10215	V.Ort
customfield_11524	customfield_10230	V.StNr
customfield_11515	customfield_10257	V.Strasse
customfield_11517	customfield_10227	V.Tel
customfield_11525	customfield_10265	V.Vorstand
customfield_10413	customfield_10423	Veranstaltungsort
customfield_11408	customfield_10332	Vereinsfunktion  2
customfield_11404	customfield_10280	Vereinsfunktion 1
customfield_11619	customfield_10268	Vereinsfunktion 1 Bis
customfield_11629	customfield_10269	Vereinsfunktion 1 Ge�ndert am
customfield_11609	customfield_10331	Vereinsfunktion 1 Von
customfield_11416	customfield_10317	Vereinsfunktion 10
customfield_11628	customfield_10342	Vereinsfunktion 10 Bis
customfield_11638	customfield_10293	Vereinsfunktion 10 Ge�ndert am
customfield_11618	customfield_10318	Vereinsfunktion 10 Von
customfield_11620	customfield_10283	Vereinsfunktion 2 Bis
customfield_11630	customfield_10292	Vereinsfunktion 2 Ge�ndert am
customfield_11610	customfield_10333	Vereinsfunktion 2 Von
customfield_11409	customfield_10281	Vereinsfunktion 3
