id                name                                                         schema
--                ----                                                         ------
customfield_11458 Leistung 2                                                   @{type=string; custom=com.atlassian.jir…
customfield_11457 Betrag 1                                                     @{type=number; custom=com.atlassian.jir…
customfield_11459 Betrag 2                                                     @{type=number; custom=com.atlassian.jir…
customfield_10800 Zus. Bearbeiter                                              @{type=array; items=user; custom=com.at…
customfield_10804 RL.Tel-Fest                                                  @{type=string; custom=com.atlassian.jir…
customfield_10807 CityID                                                       @{type=string; custom=com.atlassian.jir…
customfield_10808 E-Mail_RL_New_Auftrag                                        @{type=option; custom=com.atlassian.jir…
customfield_11450 Stellvertreter 1-E-Mail                                      @{type=string; custom=com.atlassian.jir…
customfield_11452 Stellvertreter 2-E-Mail                                      @{type=string; custom=com.atlassian.jir…
customfield_10000 Development                                                  @{type=any; custom=com.atlassian.jira.p…
customfield_11451 Stellvertreter 2                                             @{type=string; custom=com.atlassian.jir…
customfield_11454 Finanzbeauftragter-E-Mail                                    @{type=string; custom=com.atlassian.jir…
customfield_11453 Finanzbeauftragter                                           @{type=string; custom=com.atlassian.jir…
customfield_11456 Leistung 1                                                   @{type=string; custom=com.atlassian.jir…
customfield_11455 Zusätzliche E-Mail                                           @{type=string; custom=com.atlassian.jir…
customfield_10238 Feedback-Status                                              @{type=array; items=option; custom=com.…
customfield_11449 Stellvertreter 1                                             @{type=string; custom=com.atlassian.jir…
customfield_10239 Abschlussbericht-Status                                      @{type=array; items=option; custom=com.…
customfield_11448 Auftragsbestätigung                                          @{type=string; custom=com.atlassian.jir…
customfield_10230 Auftragsnummer                                               @{type=string; custom=com.atlassian.jir…
customfield_10231 Auftragsbeginn                                               @{type=date; custom=com.atlassian.jira.…
customfield_10232 Auftragsstatus                                               @{type=option; custom=com.atlassian.jir…
customfield_13500 Bearbeiter (Partner)                                         @{type=user; custom=com.atlassian.jira.…
customfield_11200 K.Strasse                                                    @{type=string; custom=com.atlassian.jir…
customfield_11201 K.PLZ                                                        @{type=string; custom=com.atlassian.jir…
customfield_10233 Nachname                                                     @{type=string; custom=com.atlassian.jir…
customfield_11202 K.Ort                                                        @{type=string; custom=com.atlassian.jir…
customfield_10234 Region                                                       @{type=option; custom=com.atlassian.jir…
customfield_10104 Sprint                                                       @{type=array; items=string; custom=com.…
customfield_10105 Rank                                                         @{type=any; custom=com.pyxis.greenhoppe…
customfield_10106 Story Points                                                 @{type=number; custom=com.atlassian.jir…
customfield_10229 Auftragsende                                                 @{type=date; custom=com.atlassian.jira.…
customfield_10220 M.Ort                                                        @{type=string; custom=com.atlassian.jir…
customfield_10100 Epic Link                                                    @{type=any; custom=com.pyxis.greenhoppe…
customfield_10221 K.E-Mail                                                     @{type=string; custom=com.atlassian.jir…
customfield_10101 Epic Status                                                  @{type=option; custom=com.pyxis.greenho…
customfield_10222 K.Rechnung-Firma                                             @{type=string; custom=com.atlassian.jir…
customfield_10102 Epic Name                                                    @{type=string; custom=com.pyxis.greenho…
customfield_10103 Epic Color                                                   @{type=string; custom=com.pyxis.greenho…
customfield_10335 I.Straße                                                     @{type=string; custom=com.atlassian.jir…
customfield_10214 M.Geburtsdatum                                               @{type=date; custom=com.atlassian.jira.…
customfield_11304 Kreis(zur autom. Anzeige)                                    @{type=option; custom=com.atlassian.jir…
customfield_11305 K.Land                                                       @{type=option; custom=com.atlassian.jir…
customfield_10216 M.Nummer                                                     @{type=string; custom=com.atlassian.jir…
customfield_10337 P.Ort                                                        @{type=string; custom=com.atlassian.jir…
customfield_10217 M.E-Mail AS                                                  @{type=string; custom=com.atlassian.jir…
customfield_10218 M.Strasse                                                    @{type=string; custom=com.atlassian.jir…
customfield_10219 M.PLZ                                                        @{type=string; custom=com.atlassian.jir…
customfield_10331 Ansprechpartner                                              @{type=string; custom=com.atlassian.jir…
customfield_10210 K.Rechnung-Ort                                               @{type=string; custom=com.atlassian.jir…
customfield_11300 K.Rechnung-Land                                              @{type=option; custom=com.atlassian.jir…
customfield_10211 M.Vorname                                                    @{type=string; custom=com.atlassian.jir…
customfield_10333 Bemerkung                                                    @{type=string; custom=com.atlassian.jir…
customfield_11301 Beratungsfall                                                @{type=array; items=option; custom=com.…
customfield_10212 M.Nachname                                                   @{type=string; custom=com.atlassian.jir…
customfield_10213 M.Tel-Fest                                                   @{type=string; custom=com.atlassian.jir…
customfield_10334 P.Telefon                                                    @{type=string; custom=com.atlassian.jir…
customfield_13600 QR_Code                                                      @{type=option; custom=com.atlassian.jir…
customfield_10324 AS-Referenz                                                  @{type=option; custom=com.atlassian.jir…
customfield_11414 Vereinsfunktion 8                                            @{type=option; custom=com.atlassian.jir…
customfield_10325 Auf richtigem Weg                                            @{type=option; custom=com.atlassian.jir…
customfield_11413 Vereinsfunktion 7                                            @{type=option; custom=com.atlassian.jir…
customfield_11416 Vereinsfunktion 10                                           @{type=option; custom=com.atlassian.jir…
customfield_10206 K.Vorname                                                    @{type=string; custom=com.atlassian.jir…
customfield_10327 RL relevant                                                  @{type=option; custom=com.atlassian.jir…
